robot_specifications->global_mapsize_x                 200
robot_specifications->global_mapsize_y                 320
robot_specifications->resolution                       10
robot_specifications->autoshifted_x                    0
robot_specifications->autoshifted_y                    0

global_map[0]: 20 32
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
-1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 -1
-1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 -1
-1 1 1 1 1 1 1 1 0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 -1
-1 1 1 1 1 1 1 1 0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 -1
-1 1 1 1 1 1 1 1 0.66 0.66 0.66 0.66 0.66 0.66 0.66 0.66 0.66 0.66 -1
-1 1 1 1 1 1 1 1 0.66 0.66 0.66 0.66 0.66 0.66 0.66 0.66 0.66 0.66 -1
-1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 -1
-1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 -1
-1 0.84 0.84 0.84 0.84 0.84 0.84 0.84 0.84 0.84 0.84 1 1 1 1 1 1 1 -1
-1 0.84 0.84 0.84 0.84 0.84 0.84 0.84 0.84 0.84 0.84 1 1 1 1 1 1 1 -1
-1 0.33 0.33 0.33 0.33 0.33 0.33 0.33 0.33 0.33 0.33 1 1 1 1 1 1 1 -1
-1 0.33 0.33 0.33 0.33 0.33 0.33 0.33 0.33 0.33 0.33 1 1 1 1 1 1 1 -1
-1 0.33 0.33 0.33 0.33 0.33 0.33 0.33 0.33 0.33 0.33 1 1 1 1 1 1 1 -1
-1 0.33 0.33 0.33 0.33 0.33 0.33 0.33 0.33 0.33 0.33 1 1 1 1 1 1 1 -1
-1 0.66 0.66 0.66 0.66 0.66 0.66 0.66 0.66 0.66 0.66 1 1 1 1 1 1 1 -1
-1 0.66 0.66 0.66 0.66 0.66 0.66 0.66 0.66 0.66 0.66 1 1 1 1 1 1 1 -1
-1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 -1
-1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 -1
-1 1 1 1 1 1 1 1 0.66 0.66 0.66 0.66 0.66 0.66 0.66 0.66 0.66 0.66 -1
-1 1 1 1 1 1 1 1 0.66 0.66 0.66 0.66 0.66 0.66 0.66 0.66 0.66 0.66 -1
-1 1 1 1 1 1 1 1 0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 -1
-1 1 1 1 1 1 1 1 0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 -1
-1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 -1
-1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 -1
-1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 -1
-1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 -1
-1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 -1
-1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 -1
-1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 -1
-1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 -1
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
